ano_teste,modelo,mae
2010,gradient_boosting,1.0411118920427143
2010,stacking_ia,1.9352790048467128
2010,random_forest_07_600,2.0507666666664477
2010,random_forest_05_1200,2.5217287182086707
2010,baseline_pesquisa,3.39475
2010,baseline_ajustado,3.862924481683617
2010,baseline_efeito_casa,3.862924481683617
2010,voting_ia,4.4916989653706985
2010,extra_trees,4.632766666666747
2010,inferencial_ols,5.153066261528339
2010,extra_trees_1000,5.457101640445613
2010,random_forest_sqrt_1200,5.503867183314071
2010,huber,6.073842384224308
2010,mlp_pequena,12.564969685521177
2010,ridge,12.674763786200728
2014,random_forest_sqrt_1200,2.471933898479735
2014,gradient_boosting,2.7333476507632923
2014,baseline_ajustado,2.979999999999997
2014,baseline_efeito_casa,2.979999999999997
2014,baseline_pesquisa,2.979999999999997
2014,extra_trees_1000,3.133436154762137
2014,random_forest_05_1200,3.2491223908731612
2014,extra_trees,3.52124000000002
2014,stacking_ia,3.769010802994327
2014,random_forest_07_600,3.8750250000002247
2014,voting_ia,4.968615832612954
2014,mlp_pequena,9.20255040740831
2014,ridge,9.606133180408886
2014,huber,11.796184233329193
2014,inferencial_ols,18.302503320728015
2018,baseline_ajustado,1.921572964703902
2018,baseline_efeito_casa,1.921572964703902
2018,baseline_pesquisa,1.921572964703902
2018,inferencial_ols,2.3509921650248002
2018,huber,3.5672550812465587
2018,ridge,5.510131402013599
2018,mlp_pequena,8.853250100879347
2018,extra_trees_1000,11.554166246109915
2018,extra_trees,12.311116310054684
2018,voting_ia,12.483918231933739
2018,random_forest_sqrt_1200,13.62520265174229
2018,random_forest_05_1200,14.28833803175694
2018,random_forest_07_600,15.758559799982326
2018,gradient_boosting,15.959033093163209
2018,stacking_ia,19.995300252614975
2022,voting_ia,3.967792763844395
2022,extra_trees_1000,5.15838179473278
2022,extra_trees,5.194905511124607
2022,stacking_ia,5.325573661006019
2022,random_forest_05_1200,5.363939115420849
2022,random_forest_07_600,5.566792412702787
2022,gradient_boosting,5.977145038273278
2022,baseline_efeito_casa,6.727098887683158
2022,baseline_pesquisa,6.994491127331863
2022,baseline_ajustado,7.040759066892067
2022,inferencial_ols,7.132816711788391
2022,ridge,7.795816819982225
2022,mlp_pequena,7.901638898032231
2022,random_forest_sqrt_1200,8.23511190102822
2022,huber,8.537480560201736
