ano_eleicao,cenario_rotulo,candidato,previsto,resultado_real_validos,modelo,ano_treino_max,erro_abs
2018,Primeiro turno 2018,Jair Bolsonaro,47.920562296080504,46.03,baseline_pesquisa,2014,1.8905622960805033
2018,Primeiro turno 2018,João Amoêdo,3.231160552247946,2.5,baseline_pesquisa,2014,0.7311605522479461
2018,Primeiro turno 2018,Ciro Gomes,10.796939983025947,12.47,baseline_ajustado,2014,1.6730600169740537
2018,Primeiro turno 2018,Fernando Haddad,24.98276780024324,29.28,baseline_ajustado,2014,4.29723219975676
2018,Primeiro turno 2018,Geraldo Alckmin,5.775849758460246,4.76,baseline_ajustado,2014,1.015849758460246
2018,Primeiro turno 2018,Jair Bolsonaro,47.920562296080504,46.03,baseline_ajustado,2014,1.8905622960805033
2018,Primeiro turno 2018,João Amoêdo,3.231160552247946,2.5,baseline_ajustado,2014,0.7311605522479461
2018,Primeiro turno 2018,Ciro Gomes,10.796939983025947,12.47,baseline_efeito_casa,2014,1.6730600169740537
2018,Primeiro turno 2018,Fernando Haddad,24.98276780024324,29.28,baseline_efeito_casa,2014,4.29723219975676
2018,Primeiro turno 2018,Geraldo Alckmin,5.775849758460246,4.76,baseline_efeito_casa,2014,1.015849758460246
2018,Primeiro turno 2018,Jair Bolsonaro,47.920562296080504,46.03,baseline_efeito_casa,2014,1.8905622960805033
2018,Primeiro turno 2018,João Amoêdo,3.231160552247946,2.5,baseline_efeito_casa,2014,0.7311605522479461
2018,Primeiro turno 2018,Ciro Gomes,11.250143140752824,12.47,inferencial_ols,2014,1.2198568592471766
2018,Primeiro turno 2018,Fernando Haddad,31.189477489810546,29.28,inferencial_ols,2014,1.9094774898105449
2018,Primeiro turno 2018,Geraldo Alckmin,7.259891114783052,4.76,inferencial_ols,2014,2.4998911147830523
2018,Primeiro turno 2018,Jair Bolsonaro,49.41810451397631,46.03,inferencial_ols,2014,3.388104513976309
2018,Primeiro turno 2018,João Amoêdo,5.23763084730692,2.5,inferencial_ols,2014,2.73763084730692
2018,Primeiro turno 2018,Ciro Gomes,16.732334836224585,12.47,ridge,2014,4.262334836224584
2018,Primeiro turno 2018,Fernando Haddad,40.18683593076455,29.28,ridge,2014,10.90683593076455
2018,Primeiro turno 2018,Geraldo Alckmin,12.874390202302285,4.76,ridge,2014,8.114390202302285
2018,Primeiro turno 2018,Jair Bolsonaro,57.811044465452206,46.03,ridge,2014,11.781044465452204
2018,Primeiro turno 2018,João Amoêdo,10.919183339044649,2.5,ridge,2014,8.419183339044649
2018,Primeiro turno 2018,Ciro Gomes,19.07958659523489,12.47,huber,2014,6.609586595234889
2018,Primeiro turno 2018,Fernando Haddad,41.14416116370555,29.28,huber,2014,11.864161163705546
2018,Primeiro turno 2018,Geraldo Alckmin,14.500146964309046,4.76,huber,2014,9.740146964309046
2018,Primeiro turno 2018,Jair Bolsonaro,62.06436782447223,46.03,huber,2014,16.034367824472227
2018,Primeiro turno 2018,João Amoêdo,12.179286338801012,2.5,huber,2014,9.679286338801012
2018,Primeiro turno 2018,Ciro Gomes,25.336264887010902,12.47,random_forest_07_600,2014,12.866264887010901
2018,Primeiro turno 2018,Fernando Haddad,20.076261941695705,29.28,random_forest_07_600,2014,9.203738058304296
2018,Primeiro turno 2018,Geraldo Alckmin,23.760283333333177,4.76,random_forest_07_600,2014,19.00028333333318
2018,Primeiro turno 2018,Jair Bolsonaro,41.42989397520903,46.03,random_forest_07_600,2014,4.600106024790968
2018,Primeiro turno 2018,João Amoêdo,23.760283333333177,2.5,random_forest_07_600,2014,21.260283333333177
2018,Primeiro turno 2018,Ciro Gomes,15.568487409600992,12.47,extra_trees,2014,3.098487409600992
2018,Primeiro turno 2018,Fernando Haddad,24.48567546562375,29.28,extra_trees,2014,4.794324534376251
2018,Primeiro turno 2018,Geraldo Alckmin,14.224887493868982,4.76,extra_trees,2014,9.464887493868982
2018,Primeiro turno 2018,Jair Bolsonaro,44.35060394511919,46.03,extra_trees,2014,1.6793960548808116
2018,Primeiro turno 2018,João Amoêdo,13.897859999999945,2.5,extra_trees,2014,11.397859999999945
2018,Primeiro turno 2018,Ciro Gomes,33.907611823165624,12.47,gradient_boosting,2014,21.437611823165625
2018,Primeiro turno 2018,Fernando Haddad,32.31486043903061,29.28,gradient_boosting,2014,3.0348604390306093
2018,Primeiro turno 2018,Geraldo Alckmin,31.903288503728916,4.76,gradient_boosting,2014,27.143288503728918
2018,Primeiro turno 2018,Jair Bolsonaro,40.3200879494469,46.03,gradient_boosting,2014,5.7099120505531005
2018,Primeiro turno 2018,João Amoêdo,31.03037328818177,2.5,gradient_boosting,2014,28.53037328818177
2018,Primeiro turno 2018,Ciro Gomes,1.5548665270454989,12.47,mlp_pequena,2014,10.915133472954501
2018,Primeiro turno 2018,Fernando Haddad,30.123498011786815,29.28,mlp_pequena,2014,0.8434980117868136
2018,Primeiro turno 2018,Geraldo Alckmin,0.0,4.76,mlp_pequena,2014,4.76
2018,Primeiro turno 2018,Jair Bolsonaro,51.54655724347078,46.03,mlp_pequena,2014,5.516557243470778
2018,Primeiro turno 2018,João Amoêdo,0.0,2.5,mlp_pequena,2014,2.5
2018,Primeiro turno 2018,Ciro Gomes,27.812993253824565,12.47,voting_ia,2014,15.342993253824565
2018,Primeiro turno 2018,Fernando Haddad,28.83555716376534,29.28,voting_ia,2014,0.44444283623466063
2018,Primeiro turno 2018,Geraldo Alckmin,25.702070679788168,4.76,voting_ia,2014,20.942070679788166
2018,Primeiro turno 2018,Jair Bolsonaro,46.61510209513075,46.03,voting_ia,2014,0.5851020951307504
2018,Primeiro turno 2018,João Amoêdo,24.759363320186576,2.5,voting_ia,2014,22.259363320186576
2018,Primeiro turno 2018,Ciro Gomes,28.453616726558323,12.47,stacking_ia,2014,15.983616726558322
2018,Primeiro turno 2018,Fernando Haddad,21.362791117380237,29.28,stacking_ia,2014,7.917208882619764
2018,Primeiro turno 2018,Geraldo Alckmin,27.04410533581375,4.76,stacking_ia,2014,22.28410533581375
2018,Primeiro turno 2018,Jair Bolsonaro,44.02555050024019,46.03,stacking_ia,2014,2.004449499759808
2018,Primeiro turno 2018,João Amoêdo,26.501057791128545,2.5,stacking_ia,2014,24.001057791128545
2022,Primeiro turno 2022 - 2019,Ciro Gomes,14.731999999999998,3.04,baseline_pesquisa,2018,11.691999999999997
2022,Primeiro turno 2022 - 2019,Jair Bolsonaro,42.6829,43.2,baseline_pesquisa,2018,0.5171000000000063
2022,Primeiro turno 2022 - 2020,Ciro Gomes,6.9767,3.04,baseline_pesquisa,2018,3.9367
2022,Primeiro turno 2022 - 2020,Jair Bolsonaro,36.0465,43.2,baseline_pesquisa,2018,7.153500000000001
2022,Primeiro turno 2022 - 2020,Lula,19.7674,48.43,baseline_pesquisa,2018,28.6626
2022,Primeiro turno 2022 - 2021,Ciro Gomes,9.0909,3.04,baseline_pesquisa,2018,6.0508999999999995
2022,Primeiro turno 2022 - 2021,Jair Bolsonaro,25.641000000000002,43.2,baseline_pesquisa,2018,17.559
2022,Primeiro turno 2022 - 2021,Lula,41.958,48.43,baseline_pesquisa,2018,6.472000000000001
2022,Primeiro turno 2022 - 2021,Simone Tebet,4.4944,4.16,baseline_pesquisa,2018,0.3343999999999996
2022,Primeiro turno 2022 - 2021 alternativo,Ciro Gomes,15.217400000000001,3.04,baseline_pesquisa,2018,12.177400000000002
2022,Primeiro turno 2022 - 2021 alternativo,Jair Bolsonaro,33.6957,43.2,baseline_pesquisa,2018,9.5043
2022,Primeiro turno 2022 - 2021 alternativo,Lula,42.3913,48.43,baseline_pesquisa,2018,6.038699999999999
2022,Primeiro turno 2022 - abril a junho,Ciro Gomes,8.7912,3.04,baseline_pesquisa,2018,5.7512
2022,Primeiro turno 2022 - abril a junho,Jair Bolsonaro,36.2637,43.2,baseline_pesquisa,2018,6.936300000000003
2022,Primeiro turno 2022 - abril a junho,Lula,47.2527,48.43,baseline_pesquisa,2018,1.1773000000000025
2022,Primeiro turno 2022 - janeiro a marco,Ciro Gomes,5.3763,3.04,baseline_pesquisa,2018,2.3362999999999996
2022,Primeiro turno 2022 - janeiro a marco,Jair Bolsonaro,37.6344,43.2,baseline_pesquisa,2018,5.565600000000003
2022,Primeiro turno 2022 - janeiro a marco,Lula,39.7849,48.43,baseline_pesquisa,2018,8.6451
2022,Primeiro turno 2022 - reta final,Ciro Gomes,5.30012648259788,3.04,baseline_pesquisa,2018,2.2601264825978804
2022,Primeiro turno 2022 - reta final,Jair Bolsonaro,36.040769858597066,43.2,baseline_pesquisa,2018,7.1592301414029365
2022,Primeiro turno 2022 - reta final,Lula,50.52998938331879,48.43,baseline_pesquisa,2018,2.0999893833187926
2022,Primeiro turno 2022 - reta final,Simone Tebet,6.009058793981354,4.16,baseline_pesquisa,2018,1.8490587939813539
2022,Primeiro turno 2022 - 2019,Ciro Gomes,14.731999999999998,3.04,baseline_ajustado,2018,11.691999999999997
2022,Primeiro turno 2022 - 2019,Jair Bolsonaro,42.6829,43.2,baseline_ajustado,2018,0.5171000000000063
2022,Primeiro turno 2022 - 2020,Ciro Gomes,6.9767,3.04,baseline_ajustado,2018,3.9367
2022,Primeiro turno 2022 - 2020,Jair Bolsonaro,36.0465,43.2,baseline_ajustado,2018,7.153500000000001
2022,Primeiro turno 2022 - 2020,Lula,19.7674,48.43,baseline_ajustado,2018,28.6626
2022,Primeiro turno 2022 - 2021,Ciro Gomes,9.0909,3.04,baseline_ajustado,2018,6.0508999999999995
2022,Primeiro turno 2022 - 2021,Jair Bolsonaro,25.641000000000002,43.2,baseline_ajustado,2018,17.559
2022,Primeiro turno 2022 - 2021,Lula,41.958,48.43,baseline_ajustado,2018,6.472000000000001
2022,Primeiro turno 2022 - 2021,Simone Tebet,4.4944,4.16,baseline_ajustado,2018,0.3343999999999996
2022,Primeiro turno 2022 - 2021 alternativo,Ciro Gomes,15.217400000000001,3.04,baseline_ajustado,2018,12.177400000000002
2022,Primeiro turno 2022 - 2021 alternativo,Jair Bolsonaro,33.6957,43.2,baseline_ajustado,2018,9.5043
