ano_teste,dias_antes_eleicao,modelo,linhas_avaliadas,mae
1994,180,baseline_ajustado,4,15.413825000000001
1994,180,baseline_efeito_casa,4,15.413825000000001
1994,180,baseline_pesquisa,4,15.413825000000001
1994,180,baseline_temporal,4,15.413825000000001
1994,180,bayesiano_dinamico_kalman,4,15.413825000000001
1994,120,baseline_ajustado,13,15.804576923076922
1994,120,baseline_efeito_casa,13,15.804576923076922
1994,120,baseline_pesquisa,13,15.804576923076922
1994,120,baseline_temporal,13,15.804576923076922
1994,120,bayesiano_dinamico_kalman,13,15.804576923076922
1994,90,baseline_ajustado,21,15.610004761904763
1994,90,baseline_efeito_casa,21,15.610004761904763
1994,90,baseline_pesquisa,21,15.610004761904763
1994,90,baseline_temporal,21,15.610004761904763
1994,90,bayesiano_dinamico_kalman,21,15.610004761904763
1994,60,baseline_ajustado,29,14.367303448275866
1994,60,baseline_efeito_casa,29,14.367303448275866
1994,60,baseline_pesquisa,29,14.367303448275866
1994,60,baseline_temporal,29,14.367303448275866
1994,60,bayesiano_dinamico_kalman,29,14.367303448275866
1994,30,baseline_ajustado,47,9.94916170212766
1994,30,baseline_efeito_casa,47,9.94916170212766
1994,30,baseline_pesquisa,47,9.94916170212766
1994,30,baseline_temporal,47,9.94916170212766
1994,30,bayesiano_dinamico_kalman,47,9.94916170212766
1994,15,baseline_ajustado,59,8.206250847457627
1994,15,baseline_efeito_casa,59,8.206250847457627
1994,15,baseline_pesquisa,59,8.206250847457627
1994,15,baseline_temporal,59,8.206250847457627
1994,15,bayesiano_dinamico_kalman,59,8.206250847457627
1994,7,baseline_ajustado,63,7.778833333333333
1994,7,baseline_efeito_casa,63,7.778833333333333
1994,7,baseline_pesquisa,63,7.778833333333333
1994,7,baseline_temporal,63,7.778833333333333
1994,7,bayesiano_dinamico_kalman,63,7.778833333333333
1998,180,baseline_ajustado,4,2.7915500000000013
1998,180,baseline_efeito_casa,4,6.529110439105221
1998,180,baseline_pesquisa,4,2.7915500000000004
1998,180,baseline_temporal,4,2.7915500000000004
