ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
1998,1,Datafolha,1998-09-01,1998-09-02,1998-09-02,1000,datafolha_serie_1998_09_02,Enéas Carneiro,3,0,15,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-17,1998-09-18,1998-09-18,1000,datafolha_serie_1998_09_18,Fernando Henrique Cardoso,48,0,14,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-17,1998-09-18,1998-09-18,1000,datafolha_serie_1998_09_18,Lula,25,0,14,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-17,1998-09-18,1998-09-18,1000,datafolha_serie_1998_09_18,Ciro Gomes,8,0,14,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-17,1998-09-18,1998-09-18,1000,datafolha_serie_1998_09_18,Enéas Carneiro,3,0,14,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-24,1998-09-25,1998-09-25,1000,datafolha_serie_1998_09_25,Fernando Henrique Cardoso,46,0,15,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-24,1998-09-25,1998-09-25,1000,datafolha_serie_1998_09_25,Lula,25,0,15,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-24,1998-09-25,1998-09-25,1000,datafolha_serie_1998_09_25,Ciro Gomes,9,0,15,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-09-24,1998-09-25,1998-09-25,1000,datafolha_serie_1998_09_25,Enéas Carneiro,3,0,15,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-10-02,1998-10-02,1998-10-02,1000,datafolha_serie_1998_10_02,Fernando Henrique Cardoso,49,0,11,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-10-02,1998-10-02,1998-10-02,1000,datafolha_serie_1998_10_02,Lula,26,0,11,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-10-02,1998-10-02,1998-10-02,1000,datafolha_serie_1998_10_02,Ciro Gomes,10,0,11,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
1998,1,Datafolha,1998-10-02,1998-10-02,1998-10-02,1000,datafolha_serie_1998_10_02,Enéas Carneiro,2,0,11,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,1,fonte_primaria_datafolha_serie,estimulado_primeiro_turno
