ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Fernando Henrique Cardoso,43,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Lula,23,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Leonel Brizola,5,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Orestes Quércia,4,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Enéas Carneiro,4,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-08-22,1994-08-22,1994-08-23,10399,folha_datafolha_1994_08_22,Esperidião Amin,2,7,12,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-07-08,1998-07-09,1998-07-12,1000,folha_datafolha_1998_07_09,Fernando Henrique Cardoso,40,8,9,https://www1.folha.uol.com.br/fsp/brasil/fc12079807.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-07-08,1998-07-09,1998-07-12,1000,folha_datafolha_1998_07_09,Lula,28,8,9,https://www1.folha.uol.com.br/fsp/brasil/fc12079807.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-07-08,1998-07-09,1998-07-12,1000,folha_datafolha_1998_07_09,Ciro Gomes,7,8,9,https://www1.folha.uol.com.br/fsp/brasil/fc12079807.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-07-08,1998-07-09,1998-07-12,1000,folha_datafolha_1998_07_09,Enéas Carneiro,4,8,9,https://www1.folha.uol.com.br/fsp/brasil/fc12079807.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-08-12,1998-08-14,1998-08-18,10289,folha_datafolha_1998_08_14,Fernando Henrique Cardoso,42,9,9,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-08-12,1998-08-14,1998-08-18,10289,folha_datafolha_1998_08_14,Lula,26,9,9,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-08-12,1998-08-14,1998-08-18,10289,folha_datafolha_1998_08_14,Ciro Gomes,7,9,9,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-08-12,1998-08-14,1998-08-18,10289,folha_datafolha_1998_08_14,Enéas Carneiro,4,9,9,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1998,1,Datafolha,1998-08-12,1998-08-14,1998-08-18,10289,folha_datafolha_1998_08_14,João de Deus,1,9,9,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
