ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
2022,1,FSB[124],2022-03-18,2022-03-20,2022-03-20,2000,wikipedia_tabela_4,Gomes,9.0,0,5.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[125],2022-03-13,2022-03-15,2022-03-15,3000,wikipedia_tabela_4,Lula,40.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[125],2022-03-13,2022-03-15,2022-03-15,3000,wikipedia_tabela_4,Bolsonaro,30.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[125],2022-03-13,2022-03-15,2022-03-15,3000,wikipedia_tabela_4,Gomes,7.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ranking Brasil[127],2022-03-07,2022-03-12,2022-03-12,3000,wikipedia_tabela_4,Lula,39.0,0,10.5,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ranking Brasil[127],2022-03-07,2022-03-12,2022-03-12,3000,wikipedia_tabela_4,Bolsonaro,32.4,0,10.5,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ranking Brasil[127],2022-03-07,2022-03-12,2022-03-12,3000,wikipedia_tabela_4,Gomes,6.5,0,10.5,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Instituto GERP[126],2022-03-07,2022-03-10,2022-03-10,2095,wikipedia_tabela_4,Lula,38.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Instituto GERP[126],2022-03-07,2022-03-10,2022-03-10,2095,wikipedia_tabela_4,Bolsonaro,31.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Instituto GERP[126],2022-03-07,2022-03-10,2022-03-10,2095,wikipedia_tabela_4,Gomes,5.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,XP/Ipespe[129],2022-03-07,2022-03-09,2022-03-09,1000,wikipedia_tabela_4,Lula,43.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,XP/Ipespe[129],2022-03-07,2022-03-09,2022-03-09,1000,wikipedia_tabela_4,Bolsonaro,28.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,XP/Ipespe[129],2022-03-07,2022-03-09,2022-03-09,1000,wikipedia_tabela_4,Gomes,8.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Paraná Pesquisas[130],2022-03-03,2022-03-08,2022-03-08,2020,wikipedia_tabela_4,Lula,38.9,0,11.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Paraná Pesquisas[130],2022-03-03,2022-03-08,2022-03-08,2020,wikipedia_tabela_4,Bolsonaro,30.9,0,11.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Paraná Pesquisas[130],2022-03-03,2022-03-08,2022-03-08,2020,wikipedia_tabela_4,Gomes,6.8,0,11.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[131],2022-02-27,2022-03-01,2022-03-01,3000,wikipedia_tabela_4,Lula,40.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[131],2022-02-27,2022-03-01,2022-03-01,3000,wikipedia_tabela_4,Bolsonaro,32.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,PoderData[131],2022-02-27,2022-03-01,2022-03-01,3000,wikipedia_tabela_4,Gomes,7.0,0,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ipespe[132],2022-02-21,2022-02-23,2022-02-23,1000,wikipedia_tabela_4,Lula,43.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ipespe[132],2022-02-21,2022-02-23,2022-02-23,1000,wikipedia_tabela_4,Bolsonaro,26.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Ipespe[132],2022-02-21,2022-02-23,2022-02-23,1000,wikipedia_tabela_4,Gomes,7.0,0,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Exame/Ideia[133],2022-02-18,2022-02-22,2022-02-22,1500,wikipedia_tabela_4,Lula,42.0,0,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Exame/Ideia[133],2022-02-18,2022-02-22,2022-02-22,1500,wikipedia_tabela_4,Bolsonaro,27.0,0,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Exame/Ideia[133],2022-02-18,2022-02-22,2022-02-22,1500,wikipedia_tabela_4,Gomes,8.0,0,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,CNT/MDA[134],2022-02-16,2022-02-19,2022-02-19,2002,wikipedia_tabela_4,Lula,42.2,0,12.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,CNT/MDA[134],2022-02-16,2022-02-19,2022-02-19,2002,wikipedia_tabela_4,Bolsonaro,28.0,0,12.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,CNT/MDA[134],2022-02-16,2022-02-19,2022-02-19,2002,wikipedia_tabela_4,Gomes,6.7,0,12.2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
2022,1,Modalmais/Futura[120],2022-02-14,2022-02-17,2022-02-17,2000,wikipedia_tabela_4,Lula,35.0,0,10.5,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno
